,name,population,latitude,longitude
554,plakhtiyivka,5038,46.1006,29.72169
555,pionerskoye,5534,44.88083,34.20194
556,pylypets,1104,48.65899,23.28346
557,petropavlivka,8912,48.45643,36.4367
558,petrove,8252,48.32467,33.25617
559,petrivs’ke,3275,49.17695,36.89999
560,kurisove,4535,46.96951,30.95914
561,petrykivka,4896,48.72933,34.63358
562,pervomays’k,70746,48.04433,30.85073
563,pereval’s’k,29220,48.43779,38.84384
564,piskivka,6889,50.69378,29.61934
565,peschanoye,820,44.84342,33.60921
566,petrikov,3033,49.53122,25.57901
567,pershotravneve,2523,51.39287,28.86837
568,manhush,8153,47.05582,37.31068
569,pervomayskoye,2247,45.11207,34.06478
570,petranka,2929,48.90246,24.30347
571,pervomays’kyy,0,49.38742,36.21471
572,pishchanka,0,48.20727,28.88607
573,pervomayskoye,8470,45.71744,33.85596
574,peschana,3094,48.12918,29.73086
575,pervomays’k,41480,48.62988,38.54806
576,perovo,3890,44.92513,34.05753
577,peresichna,6894,50.02452,35.97871
578,pereyaslav-khmel’nyts’kyy,36527,50.06739,31.44969
579,pereval'noye,3426,44.84838,34.31271
580,perehonivka,3354,48.53552,30.51923
581,partyzany,3738,46.33383,34.75314
582,pantayivka,2918,48.674,32.8841
583,pavlysh,4693,48.91762,33.35691
584,parutyne,1996,46.70538,31.89709
585,pavlovka,3635,49.44143,28.45956
586,ovruch,16398,51.3246,28.80351
587,pechenihy,0,49.87167,36.93472
588,perechyn,7000,48.73616,22.482
589,ovidiopol,11818,46.24998,30.44127
590,pavlivka,1135,49.60864,38.70917
591,ozerna,3451,49.62891,25.32895
592,peremyshlyany,7284,49.66523,24.55846
593,pasichna,4530,48.57152,24.43003
594,panyutyne,7038,48.93692,36.27563
595,partizanskoye,2079,44.83379,34.08465
596,pavlohrad,115932,48.53426,35.87098
597,pechenizhyn,5126,48.51551,24.89423
598,ozerne,5162,45.403,28.67546
599,ozerne,5646,50.17816,28.73384
600,orikhiv,17287,47.56731,35.78575
601,osypenko,4477,46.9136,36.8253
602,otyniya,5205,48.73767,24.86111
603,oster,6794,50.9506,30.88229
604,ostroh,14251,50.32942,26.51425
605,ostrovskoye,1123,45.74232,34.06607
606,onufriyivka,4298,48.90716,33.44869
607,olyshivka,2317,51.22266,31.33314
608,orlovskoye,1014,45.8107,33.97308
609,orlinoye,2106,44.44685,33.77588
610,orzhytsya,3898,49.7901,32.69941
611,ordzhonikidze,0,47.66763,34.05957
612,orativ,3170,49.18889,29.52697
613,onokivtsi,2187,48.65763,22.34183
614,ordzhonikidze,2572,44.96401,35.35576
615,oposhnya,6003,49.95652,34.61226
616,olevs’k,0,51.22482,27.65228
617,ol'shanskoye,4500,47.18411,31.79375
618,olyka,3074,50.71855,25.81251
619,vil’shanka,0,48.23604,30.87608
620,okunevka,522,45.36855,32.76357
621,ochakiv,16300,46.61283,31.54982
622,oktyabr'skoye,1415,45.36215,36.36803
623,oleshnyk,4696,48.16406,22.96167
624,oleksandrivka,10687,48.96336,32.23492
625,nyrkiv,1013,48.81492,25.59989
626,olesko,1800,49.96233,24.89336
627,oleksandriya,103000,48.66961,33.11593
628,oktyabr’skoye,10244,45.28866,34.13521
629,oktyabr’skoye,1192,45.65531,33.94918
630,obukhiv,31557,50.10689,30.61848
631,okhotskoye,1328,45.48612,34.86401
632,odessa,1001558,46.47747,30.73262
633,okhotnikovo,1550,45.23985,33.59405
634,obroshyne,4186,49.78333,23.86667
635,obodivka,3378,48.40514,29.24775
636,novyy yarychiv,2841,49.90444,24.30523
637,obertyn,3264,48.70032,25.17012
638,nuyno,1681,51.54628,24.91018
639,novyy svit,9488,47.80591,38.02112
640,novi petrivtsi,7747,50.62754,30.4431
641,novozhilovka,1679,45.1596,34.2327
642,novi troyany,3992,45.94275,28.85628
643,novi sanzhary,8020,49.34395,34.31084
644,novovasylivka,2724,46.83021,35.75136
645,novyy starodub,4777,48.5158,33.17329
646,novosyolovka,1425,44.99377,33.83525
647,novy svet,1248,44.83087,34.9137
648,nove davydkovo,3853,48.44133,22.62164
649,dubki,2256,44.93581,34.02355
650,novyy buh,15646,47.69308,32.5216
651,novi bilokorovychi,3251,51.11548,28.05463
652,novoukrayinka,18633,48.32635,31.52852
653,novovolyns’k,57800,50.72576,24.16265
